CUST_ID,cluster
C10001,6
C10002,0
C10003,2
C10004,6
C10005,6
C10006,2
C10007,5
C10008,2
C10009,6
C10010,6
C10011,2
C10012,6
C10013,2
C10014,2
C10015,6
C10016,0
C10017,4
C10018,6
C10019,2
C10020,3
C10021,3
C10022,5
C10023,2
C10024,0
C10025,6
C10026,2
C10027,6
C10028,2
C10029,0
C10030,6
C10031,0
C10032,2
C10033,0
C10034,2
C10035,3
C10036,6
C10037,0
C10038,2
C10039,0
C10040,0
C10041,6
C10043,2
C10044,6
C10045,6
C10046,2
C10047,6
C10048,4
C10049,6
C10050,1
C10051,6
C10052,0
C10053,2
C10054,6
C10055,4
C10056,6
C10057,6
C10058,6
C10059,2
C10060,6
C10061,6
C10062,6
C10063,6
C10064,0
C10065,6
C10067,2
C10068,6
C10069,4
C10070,6
C10071,2
C10072,6
C10073,2
C10074,0
C10075,4
C10077,6
C10078,6
C10079,2
C10080,2
C10081,2
C10082,6
C10083,0
C10084,2
C10085,6
C10086,1
C10087,1
C10088,2
C10089,1
C10090,0
C10092,0
C10093,6
C10094,0
C10095,5
C10096,0
C10097,6
C10098,6
C10099,6
C10100,6
C10101,2
C10102,6
C10103,1
C10104,4
C10105,4
C10106,2
C10107,2
C10108,2
C10109,6
C10110,6
C10111,2
C10112,0
C10113,2
C10114,0
C10115,2
C10116,6
C10117,2
C10118,0
C10119,1
C10120,2
C10121,1
C10122,6
C10123,1
C10124,6
C10125,5
C10126,6
C10127,2
C10128,6
C10130,0
C10131,5
C10132,4
C10133,2
C10134,0
C10135,6
C10136,6
C10137,2
C10138,6
C10139,0
C10140,2
C10141,6
C10142,2
C10143,2
C10144,5
C10145,2
C10146,6
C10147,6
C10148,0
C10149,0
C10150,5
C10151,6
C10152,2
C10153,6
C10154,2
C10155,2
C10156,3
C10157,2
C10158,1
C10159,5
C10160,1
C10161,1
C10162,0
C10163,6
C10164,5
C10165,6
C10166,6
C10167,6
C10168,2
C10169,6
C10170,4
C10171,6
C10172,2
C10173,1
C10174,2
C10175,2
C10176,4
C10177,5
C10178,6
C10179,4
C10180,5
C10181,6
C10182,2
C10183,0
C10184,1
C10185,6
C10186,2
